,LOG
2,fba_agent.now credits 0 buys 100 $10000 at 2022-01-05
5,fba_agent.now credits 7800000 sells 100 $78000 at 2022-01-10.
24,fba_agent.now credits 31200 buys 104 $74700 at 2022-02-09
26,fba_agent.now credits 7820800 sells 104 $74900 at 2022-02-11.
30,fba_agent.now credits 20800 buys 104 $75000 at 2022-02-17
31,fba_agent.now credits 7748000 sells 104 $74300 at 2022-02-18.
37,fba_agent.now credits 33300 buys 107 $72100 at 2022-02-28
38,fba_agent.now credits 7705200 sells 107 $71700 at 2022-03-02.
48,fba_agent.now credits 15600 buys 108 $71200 at 2022-03-17
49,fba_agent.now credits 7651200 sells 108 $70700 at 2022-03-18.
52,fba_agent.now credits 37200 buys 108 $70500 at 2022-03-23
53,fba_agent.now credits 7575600 sells 108 $69800 at 2022-03-24.
71,fba_agent.now credits 38000 buys 112 $67300 at 2022-04-19
74,fba_agent.now credits 7542000 sells 112 $67000 at 2022-04-22.
82,fba_agent.now credits 5100 buys 111 $67900 at 2022-05-04
83,fba_agent.now credits 7386600 sells 111 $66500 at 2022-05-06.
91,fba_agent.now credits 31800 buys 108 $68100 at 2022-05-18
92,fba_agent.now credits 7321800 sells 108 $67500 at 2022-05-19.
99,fba_agent.now credits 10200 buys 108 $67700 at 2022-05-30
100,fba_agent.now credits 7289400 sells 108 $67400 at 2022-05-31.
117,fba_agent.now credits 57000 buys 123 $58800 at 2022-06-27
119,fba_agent.now credits 7191000 sells 123 $58000 at 2022-06-29.
123,fba_agent.now credits 41000 buys 125 $57200 at 2022-07-05
124,fba_agent.now credits 7091000 sells 125 $56400 at 2022-07-06.
126,fba_agent.now credits 47000 buys 120 $58700 at 2022-07-08
128,fba_agent.now credits 7019000 sells 120 $58100 at 2022-07-12.
132,fba_agent.now credits 24300 buys 113 $61900 at 2022-07-18
133,fba_agent.now credits 6906000 sells 113 $60900 at 2022-07-19.
139,fba_agent.now credits 46200 buys 111 $61800 at 2022-07-27
141,fba_agent.now credits 6861600 sells 111 $61400 at 2022-07-29.
151,fba_agent.now credits 59000 buys 113 $60200 at 2022-08-12
153,fba_agent.now credits 6884200 sells 113 $60400 at 2022-08-17.
160,fba_agent.now credits 44200 buys 114 $60000 at 2022-08-26
161,fba_agent.now credits 6724600 sells 114 $58600 at 2022-08-29.
163,fba_agent.now credits 38200 buys 112 $59700 at 2022-08-31
164,fba_agent.now credits 6579000 sells 112 $58400 at 2022-09-01.
174,fba_agent.now credits 36600 buys 116 $56400 at 2022-09-19
175,fba_agent.now credits 6509400 sells 116 $55800 at 2022-09-20.
184,fba_agent.now credits 51000 buys 117 $55200 at 2022-10-04
187,fba_agent.now credits 6626400 sells 117 $56200 at 2022-10-07.
192,fba_agent.now credits 4200 buys 117 $56600 at 2022-10-17
193,fba_agent.now credits 6614700 sells 117 $56500 at 2022-10-18.
197,fba_agent.now credits 2200 buys 115 $57500 at 2022-10-24
201,fba_agent.now credits 6591700 sells 115 $57300 at 2022-10-28.
203,fba_agent.now credits 51700 buys 109 $60000 at 2022-11-01
204,fba_agent.now credits 6548100 sells 109 $59600 at 2022-11-02.
207,fba_agent.now credits 46500 buys 108 $60200 at 2022-11-07
210,fba_agent.now credits 6569700 sells 108 $60400 at 2022-11-10.
214,fba_agent.now credits 48900 buys 104 $62700 at 2022-11-16
215,fba_agent.now credits 6434500 sells 104 $61400 at 2022-11-17.
220,fba_agent.now credits 48900 buys 104 $61400 at 2022-11-24
221,fba_agent.now credits 6392900 sells 104 $61000 at 2022-11-25.
224,fba_agent.now credits 48500 buys 102 $62200 at 2022-11-30
226,fba_agent.now credits 6209300 sells 102 $60400 at 2022-12-02.
231,fba_agent.now credits 48500 buys 102 $60400 at 2022-12-09
232,fba_agent.now credits 6117500 sells 102 $59500 at 2022-12-12.
234,fba_agent.now credits 7000 buys 101 $60500 at 2022-12-14
235,fba_agent.now credits 5996300 sells 101 $59300 at 2022-12-15.
